DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/2017,0:00,,,40.733135,-73.954765,"(40.733135, -73.954765)",MANHATTAN AVENUE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781862,PICK-UP TRUCK,PICK-UP TRUCK,,,
10/31/2017,0:00,,,40.75351,-73.8979,"(40.75351, -73.8979)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781130,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,0:00,MANHATTAN,10036,40.759727,-73.99169,"(40.759727, -73.99169)",WEST 44 STREET,9 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3781009,PASSENGER VEHICLE,,,,
10/31/2017,0:00,BROOKLYN,11207,,,,LINDEN BOULEVARD,WILLIAMS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780501,PASSENGER VEHICLE,DS,,,
10/31/2017,0:00,MANHATTAN,10030,40.81561,-73.943474,"(40.81561, -73.943474)",,,2309      7 AVENUE,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,,,3780511,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/31/2017,0:00,QUEENS,11363,40.770733,-73.737404,"(40.770733, -73.737404)",LITTLE NECK PARKWAY,43 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780961,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,0:00,QUEENS,11377,,,,Northern Blvd,53 place,,1,0,1,0,0,0,0,0,Unspecified,,,,,3780655,PASSENGER VEHICLE,,,,
10/31/2017,0:00,BRONX,10451,40.825115,-73.92541,"(40.825115, -73.92541)",WALTON AVENUE,EAST 157 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781080,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/31/2017,0:00,BROOKLYN,11217,40.685658,-73.985695,"(40.685658, -73.985695)",DEAN STREET,BOND STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,3782240,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,0:00,BROOKLYN,11211,40.71612,-73.936035,"(40.71612, -73.936035)",,,350       MORGAN AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3780902,DS,PASSENGER VEHICLE,,,
