,gross_sq_feet,sale_price
1,7745,7.00E+05
2,3700,335000
3,5250,510000
4,4082,285000
5,4082,198558
6,3150,367500
7,3544,4.00E+05
8,60200,5900000
9,41972,3340441
10,26280,2012500
11,42294,3022303
12,22554,2300000
13,68546,4851592
14,5376,580000
15,4725,325000
16,7155,834502
17,5700,714354
18,84340,6225901
19,53601,3459742
20,66710,4135784
21,36916,3850000
22,41460,5070000
23,5451,570000
24,84340,8750000
25,51354,3550000
26,60717,8865379
27,27733,5.00E+05
28,41972,4500000
29,16475,1925000
30,36000,4600000
31,37362,3.00E+06
32,4000,335000
33,5376,480000
34,10232,3450000
35,5451,565000
36,5700,625000
37,5250,565000
38,66710,6900000
39,50934,3900000
40,44982,3500000
41,9360,995000
42,41972,4431600
43,5896,630000
44,5130,625000
45,11480,1580000
46,3000,435000
47,3040,615000
48,41460,5500000
49,42294,4367700
50,7325,895000
51,3108,605000
52,37362,3500000
53,9676,775000
54,23560,2200000
55,3240,650000
56,68546,2.00E+06
57,68546,5275567
58,4148,530000
59,10720,1425000
60,7155,675000
61,5250,510000
62,4075,575000
63,3544,660000
64,9104,1000408
65,45036,3200000
66,48054,3900000
67,84340,8444247
68,53601,5164650
69,66710,6157150
70,50934,5050000
71,44982,4100000
72,4150,567000
73,7691,650000
74,1620,615000
75,10232,3560000
76,3150,427637
77,5544,6.00E+05
78,5143,547500
79,63480,6967783
80,53432,6524000
81,7554,640000
82,4968,378000
83,4332,415000
84,5850,4.00E+05
85,4725,530000
86,3000,285000
87,3396,450000
88,5376,325000
89,10232,2225000
90,5451,3.00E+05
91,2870,335000
92,3080,340000
93,4968,460000
94,15000,825000
95,3480,430000
96,3000,424520
97,23560,2050000
98,3700,236250
99,10720,1.00E+06
100,10720,740000
101,3600,325000
102,20100,2150000
103,63480,6200000
104,7855,132500
105,4150,560000
106,27733,3425000
107,36916,3325000
108,46530,4225000
109,18470,1250000
110,11480,1687500
111,3276,4.00E+05
112,5160,380000
113,42760,2500000
114,5100,770500
115,3822,480000
116,13135,1150000
117,4082,520000
118,6000,525000
119,3453,375500
120,3600,275000
121,2772,475000
122,4075,425000
123,5544,520000
124,9104,1255000
125,3552,480000
126,3276,565000
127,5100,735000
128,2758,520000
129,3066,570000
130,4082,662500
131,3455,480000
132,2992,6.00E+05
133,3453,572000
134,20100,2025000
135,3150,574260
136,4254,190000
