zip_code,residential_units,land_sq_feet,gross_sq_feet,year_built,sale_price,sale_date
11204,4,2800,3600,1926,833000,2007-02-01
11204,2,4000,2492,1940,790000,2007-01-19
11204,3,3000,4086,1920,272766,2003-11-20
11204,4,2700,3520,1931,650000,2004-01-21
11204,1,2000,1428,1920,400000,2003-08-01
11204,3,2850,3240,1940,755000,2005-10-17
11204,3,2000,4280,2002,547819,2004-01-09
11204,2,2000,1440,1930,652000,2007-12-04
11204,2,1800,2124,1925,605000,2010-09-07
11204,2,1942,3329,1920,860000,2012-07-23
11204,2,2000,3382,1935,167500,2003-09-02
11204,2,1833,1551,1930,565000,2005-10-27
11204,1,2003,1958,1920,740000,2007-08-01
11204,3,2800,1388,1925,515000,2006-08-04
11204,2,2003,3600,1925,905000,2005-03-07
11204,2,1476,1732,1945,600000,2009-08-26
11204,2,2492,2752,1930,850000,2008-09-16
11204,2,2000,1880,1915,495000,2003-09-16
11204,2,1958,1760,1920,104000,2006-10-26
11204,4,2600,3480,1928,953000,2009-08-06
11204,3,2000,3400,1965,790000,2007-05-24
11204,1,2000,1288,1925,492500,2005-07-01
11204,2,2003,1404,1925,470000,2004-01-07
11204,1,1900,1120,1935,460000,2012-06-05
11204,2,1800,1782,1945,655000,2012-12-20
11204,2,2300,2600,1915,580000,2009-01-12
11204,2,4000,3600,2006,650000,2006-09-15
11204,4,2500,3026,1924,800000,2010-03-23
11204,2,2500,2440,1930,775000,2006-11-06
11204,3,2042,3714,1990,490000,2009-10-22
11204,1,2475,1392,1925,524000,2006-01-24
11204,2,2517,3150,2009,870000,2007-05-11
11204,2,2500,2440,1930,615000,2005-09-16
11204,4,2792,3036,1931,495000,2003-01-08
11204,2,4000,1684,1920,579000,2003-11-14
11204,1,2000,1832,1930,605000,2008-07-01
11204,1,2475,1312,1925,615000,2011-02-01
11204,2,1700,2057,1915,610000,2006-10-02
11204,4,2533,3213,1931,300000,2005-05-05
11204,1,2404,2780,1925,925000,2009-04-01
11204,2,3205,3344,1925,750000,2009-12-28
11204,4,3000,3300,1931,790000,2005-05-13
11204,2,4000,3600,2006,750000,2003-12-26
11204,2,2500,2072,1920,955000,2006-06-20
11204,2,1800,1848,1930,370000,2003-11-25
11204,3,2500,3600,1930,820000,2012-03-06
11204,2,1800,1808,1930,500000,2009-10-21
11204,2,2500,2480,1930,350000,2008-10-02
11204,3,2125,4347,1930,999500,2005-11-01
11204,2,1667,3192,1925,550000,2005-12-14
11204,2,2425,2352,1930,620000,2007-02-01
11204,4,2500,3337,1931,925500,2011-10-06
11204,1,1750,1589,1930,500000,2011-03-14
11204,2,1613,2460,1910,655000,2011-08-25
11204,2,1600,2400,1925,360000,2012-11-28
11204,2,2000,2016,1925,561350,2006-02-24
11204,3,2000,3025,1960,550000,2003-09-25
11204,1,2000,2256,1920,570000,2006-09-01
11204,1,1667,1320,1920,695000,2008-12-05
11204,2,2517,2480,1920,600000,2004-07-28
11204,2,2300,2040,1915,705000,2011-10-03
11204,6,2650,4797,1925,860000,2006-03-22
11204,2,2163,1674,1950,570000,2006-05-04
11204,2,4140,2276,1935,360000,2005-02-04
11204,1,4007,2046,1915,990000,2008-09-17
11204,2,2613,2280,1925,875000,2004-08-20
11204,3,1843,3310,1991,810000,2005-04-05
11204,2,1800,2232,1925,410000,2004-06-11
11204,4,2600,3230,1926,975000,2008-10-07
11204,1,2003,2368,1920,400000,2006-09-08
11204,3,2500,2640,1930,580000,2003-12-04
11204,3,2500,2640,1930,725000,2006-06-16
11204,1,1652,1140,1935,430000,2003-09-25
11204,2,3500,1784,1930,737000,2011-07-29
11204,1,1750,1020,1930,420000,2004-09-01
11204,2,3150,1378,1935,615000,2004-02-11
11204,1,2100,1120,1935,510000,2010-07-08
11204,2,3000,2560,1925,637500,2004-02-18
11204,3,4007,6280,1960,835000,2003-10-29
11204,1,2050,1344,1925,560000,2009-10-26
11204,1,2805,2776,1920,675000,2007-06-21
11204,2,2003,3300,1920,640500,2003-02-03
11204,3,2000,4600,2003,727000,2003-10-10
11204,6,3000,6300,1929,845000,2008-02-12
11204,1,2000,1296,1920,400000,2004-11-17
11204,3,2000,3870,1930,705500,2005-11-14
11204,2,2000,2043,1935,470000,2006-07-26
11204,6,3000,5305,1931,750000,2004-02-26
11204,1,3000,1508,1930,576000,2011-03-28
11204,1,2000,1710,1920,365000,2003-06-17
