,Cell,x,y,m
1,0,-74.24468643,40.50600435,0
2,1,-74.23109932,40.50804938,0
3,2,-74.21341521,40.51091357,0
4,100,-74.24362548,40.51590485,0
5,101,-74.23145479,40.51990828,0
6,102,-74.20950131,40.52108343,0
7,103,-74.1938614,40.51924095,0
8,104,-74.17672138,40.52414705,0
9,200,-74.2389273,40.53481805,0
10,201,-74.22675475,40.53378586,0
11,202,-74.21024945,40.53408845,0
12,203,-74.19340864,40.53418851,0
13,204,-74.17229641,40.53437704,0
14,205,-74.15641743,40.53462612,0
15,206,-74.14508786,40.53835997,0
16,300,-74.23755351,40.54104683,0
17,301,-74.2227157,40.54614803,0
18,302,-74.21150686,40.54589782,0
19,303,-74.1929639,40.54774201,0
20,304,-74.17428581,40.54752452,0
21,305,-74.15532284,40.54762825,0
22,306,-74.14135533,40.54823147,0
23,307,-74.11459877,40.55241692,0
24,318,-73.92832776,40.55352303,0
25,402,-74.21017094,40.55548709,0
26,403,-74.19282021,40.55809535,0
27,404,-74.17454903,40.55895513,0
28,405,-74.15609541,40.55912975,0
29,406,-74.13710078,40.55985555,0
30,407,-74.11917568,40.56078336,0
31,408,-74.10424741,40.56308721,0
32,418,-73.92183145,40.55806214,0
33,419,-73.91001541,40.56062536,0
34,420,-73.89052933,40.56667764,0
35,503,-74.19145059,40.57569291,0
36,504,-74.16936601,40.57537912,0
37,505,-74.1580231,40.5777947,0
38,506,-74.13669684,40.57232862,0
39,507,-74.11927815,40.57351299,0
40,508,-74.1007517,40.57555563,0
41,509,-74.08725584,40.57571752,0
42,513,-74.0073175,40.577097,0
43,514,-73.99496999,40.57568216,0
44,515,-73.97669879,40.57765178,0
45,516,-73.95943727,40.57820836,0
46,517,-73.94317945,40.57926113,0
47,520,-73.88679113,40.569521,0
48,521,-73.86193797,40.57225052,0
49,522,-73.85049993,40.5764307,0
50,523,-73.83509995,40.5793957,0
51,603,-74.1902297,40.59107161,0
52,604,-74.16722917,40.58945062,0
53,605,-74.15667401,40.58830556,0
54,606,-74.14049745,40.58975895,0
55,607,-74.12156599,40.58721696,0
56,608,-74.10044986,40.58754621,0
57,609,-74.08616785,40.58893074,0
58,610,-74.0690862,40.59194943,0
59,614,-73.98953648,40.58981555,0
60,615,-73.97437892,40.58972982,0
61,616,-73.95730167,40.5879139,0
62,617,-73.94031599,40.58817899,0
63,618,-73.92462825,40.58917562,0
64,619,-73.90733994,40.58748291,0
65,620,-73.89370774,40.5837307,0
66,622,-73.84761176,40.58164673,0
67,623,-73.82930862,40.58327744,0
68,624,-73.81576687,40.58648748,0
69,625,-73.79493725,40.59107237,0
70,626,-73.78150737,40.59241661,0
71,627,-73.75840011,40.59384846,0
72,703,-74.18898884,40.59907894,0
73,704,-74.16976746,40.60296026,0
74,705,-74.15971464,40.60461933,0
75,706,-74.13618174,40.60275623,0
76,707,-74.12259696,40.60268549,0
77,708,-74.10036017,40.60011822,0
78,709,-74.0847917,40.60230569,0
79,710,-74.06773374,40.60182838,0
80,711,-74.05238651,40.60288304,0
81,712,-74.02733376,40.60532597,0
82,713,-74.0079391,40.60355742,0
83,714,-73.99449448,40.60252397,0
84,715,-73.97635623,40.60248204,0
85,716,-73.95811127,40.60208009,0
86,717,-73.9414204,40.60160492,0
87,718,-73.92431955,40.60499879,0
88,719,-73.90822262,40.6041174,0
89,723,-73.82316898,40.60049371,0
90,724,-73.81946498,40.60463944,0
91,725,-73.79767014,40.59681603,0
92,726,-73.77670531,40.59672249,0
93,727,-73.75930506,40.60139287,0
94,728,-73.7461084,40.6009298,0
95,803,-74.18662675,40.61211162,0
96,804,-74.16886613,40.61447143,0
97,805,-74.15736488,40.61564148,0
98,806,-74.13768369,40.61542762,0
99,807,-74.12230957,40.61474917,0
100,808,-74.10198647,40.61545027,0
101,809,-74.08315908,40.61543367,0
102,810,-74.06842253,40.6139074,0
103,811,-74.04005973,40.62015416,0
104,812,-74.03096822,40.61800772,0
105,813,-74.01049086,40.61585419,0
106,814,-73.99371997,40.61598917,0
107,815,-73.97639923,40.61403744,0
108,816,-73.95807378,40.61510319,0
109,817,-73.94047893,40.61589221,0
110,818,-73.92323833,40.61590419,0
111,819,-73.90701069,40.61631788,0
112,824,-73.81961662,40.61187312,0
113,826,-73.7704586,40.61160495,0
114,827,-73.75984657,40.60979273,0
115,828,-73.74699205,40.61001835,0
116,903,-74.18602428,40.63029524,0
117,904,-74.16923036,40.62893734,0
118,905,-74.15682865,40.62982911,0
119,906,-74.13790337,40.63013313,0
120,907,-74.11981959,40.63059917,0
121,908,-74.10387072,40.6307846,0
122,909,-74.08277529,40.62955977,0
123,910,-74.07493927,40.62602115,0
124,911,-74.04030923,40.62616602,0
125,912,-74.02800864,40.62982767,0
126,913,-74.01180209,40.63002844,0
127,914,-73.99408582,40.63023774,0
128,915,-73.97562713,40.63098779,0
129,916,-73.9586002,40.6289848,0
130,917,-73.94202539,40.62923256,0
131,918,-73.92283888,40.62878691,0
132,919,-73.90491085,40.63071847,0
133,920,-73.8904816,40.63286015,0
134,928,-73.74054366,40.63551588,0
135,1004,-74.17039506,40.63905141,0
136,1005,-74.15828687,40.63713434,0
137,1006,-74.13641588,40.63796615,0
138,1007,-74.11880734,40.63849326,0
139,1008,-74.10242005,40.64120525,0
140,1009,-74.08336109,40.64124231,0
141,1010,-74.0737319,40.64053151,0
142,1012,-74.02813823,40.63937069,0
143,1013,-74.0119914,40.64311729,0
144,1014,-73.99496287,40.64199009,0
145,1015,-73.97522315,40.64252932,0
146,1016,-73.95751422,40.64300389,0
147,1017,-73.94384015,40.64185825,0
148,1018,-73.9232616,40.64318845,0
149,1019,-73.90427698,40.64259964,0
150,1020,-73.8879142,40.64239843,0
151,1021,-73.87446602,40.64600627,0
152,1022,-73.8445864,40.6489024,0
153,1023,-73.83714076,40.64896049,0
154,1025,-73.78863641,40.64809804,0
155,1026,-73.78315432,40.6449762,0
156,1028,-73.74211276,40.63882461,0
157,1112,-74.02299789,40.6505969,0
158,1113,-74.00850742,40.65312597,0
159,1114,-73.99499067,40.65990018,0
160,1115,-73.97897784,40.65718011,0
161,1116,-73.95707432,40.65572259,0
162,1117,-73.94064752,40.65704027,0
163,1118,-73.92254344,40.65768461,0
164,1119,-73.90476409,40.65845536,0
165,1120,-73.88753761,40.65955093,0
166,1121,-73.8694178,40.65955867,0
167,1122,-73.84817043,40.65829337,0
168,1123,-73.83474195,40.65664821,0
169,1124,-73.81204832,40.66319117,0
170,1125,-73.79292959,40.65533545,0
171,1126,-73.77275488,40.66154413,0
172,1127,-73.75881338,40.65969651,0
173,1128,-73.74160793,40.65703692,0
174,1129,-73.72894528,40.65691461,0
175,1213,-74.01018981,40.67490241,0
176,1214,-73.99145113,40.66969266,0
177,1215,-73.97808039,40.67213706,0
178,1216,-73.9563906,40.67117009,0
179,1217,-73.93983175,40.67069283,0
180,1218,-73.92335193,40.67054101,0
181,1219,-73.90477138,40.67192694,0
182,1220,-73.88648533,40.6704923,0
183,1221,-73.86980136,40.67153691,0
184,1222,-73.84997697,40.67113238,0
185,1223,-73.83297404,40.67047101,0
186,1224,-73.81394999,40.6718887,0
187,1225,-73.7962326,40.67248624,0
188,1226,-73.77736191,40.67016684,0
