,Cell,CompType,Count
1,0,Adopt-A-Basket,1
2,624,Adopt-A-Basket,2
3,714,Adopt-A-Basket,1
4,724,Adopt-A-Basket,1
5,905,Adopt-A-Basket,1
6,908,Adopt-A-Basket,1
7,910,Adopt-A-Basket,1
8,912,Adopt-A-Basket,1
9,1116,Adopt-A-Basket,3
10,1117,Adopt-A-Basket,1
11,1216,Adopt-A-Basket,1
12,1219,Adopt-A-Basket,1
13,1324,Adopt-A-Basket,1
14,1417,Adopt-A-Basket,1
15,1421,Adopt-A-Basket,1
16,1516,Adopt-A-Basket,1
17,1519,Adopt-A-Basket,1
18,1523,Adopt-A-Basket,2
19,1525,Adopt-A-Basket,1
20,1614,Adopt-A-Basket,6
21,1615,Adopt-A-Basket,1
22,1622,Adopt-A-Basket,1
23,1714,Adopt-A-Basket,2
24,1715,Adopt-A-Basket,2
25,1729,Adopt-A-Basket,1
26,2116,Adopt-A-Basket,3
27,2117,Adopt-A-Basket,1
28,2216,Adopt-A-Basket,1
29,2218,Adopt-A-Basket,1
30,2317,Adopt-A-Basket,1
31,2318,Adopt-A-Basket,2
32,2418,Adopt-A-Basket,1
33,2522,Adopt-A-Basket,1
34,0,Air Quality,2
35,1,Air Quality,1
36,100,Air Quality,2
37,101,Air Quality,1
38,200,Air Quality,1
39,202,Air Quality,1
40,203,Air Quality,1
41,204,Air Quality,1
42,205,Air Quality,2
43,206,Air Quality,1
44,301,Air Quality,1
45,302,Air Quality,1
46,304,Air Quality,6
47,305,Air Quality,2
48,404,Air Quality,1
49,406,Air Quality,1
50,407,Air Quality,3
51,408,Air Quality,6
52,505,Air Quality,1
53,507,Air Quality,2
54,508,Air Quality,5
55,509,Air Quality,1
56,513,Air Quality,4
57,514,Air Quality,5
58,515,Air Quality,7
59,516,Air Quality,21
60,517,Air Quality,2
61,522,Air Quality,5
62,523,Air Quality,5
63,603,Air Quality,3
64,605,Air Quality,7
65,606,Air Quality,2
66,608,Air Quality,3
67,609,Air Quality,5
68,610,Air Quality,5
69,614,Air Quality,7
70,615,Air Quality,8
71,616,Air Quality,33
72,617,Air Quality,15
73,618,Air Quality,3
74,623,Air Quality,3
75,624,Air Quality,7
76,625,Air Quality,2
77,627,Air Quality,1
78,705,Air Quality,1
79,706,Air Quality,2
80,707,Air Quality,2
